a	a
aaa	aː
aaaa	aː
aaaaaaah	ɑː
aaaaaah	ɑː
aaaaah	ɑː
aaaah	ɑː
aaaargh	ɑːɑːrg
aaah	ɑː
aaahh	ɑːh
aaahhh	ɑːh
a-a-aku	ɑʔaʔaku
aaargh	ɑːrg
aa	ɑ
aag	aːg
aage	aːgɛ
aagh	ɑːg
aah	ɑh
aahh	ɑː
aaj	aːj
aaja	aːdʒa
aakash	akaʃ
aake	ˈaːkɛ
aaku	aːku
a--aku	ʔaku
a-aku	ʔaku
aal	aːl
aamiin	aːmiːn
aamir	aːmiɾ
aan	aːn
aang	aːŋ
aankhon	aːŋkɔn
aaonda	ɔːnd̪a
a-apa	ʔapa
aarav	ɑːˈrɑːf
aardvark	ɑːɹdʋɑɹk
aarfa	ɑːrfə
aargh	ɑːrg
aarohi	aːrohi
aaron	aːrɔn
aarti	aːrti
aasmaan	ɑːsmaːn
aatish	ˈaːtiʃ
aaya	aːja
aayan	ajaːn
aaye	aj
aayenge	ajɛŋɛ
aayi	aj
aayo	aːjo
aba	aba
aba-aba	abaaba
aba-abaku	abaabaku
abab	abap̚
ababwa	əˈbɑbwə
abad	abaʔ
abaddon	ɑbɑdɔn
abadi	abad̪i
abadiah	abad̪iah
abadiat	abad̪iat̪̚
abadi	əˈbadi
abadiku	abadɪku
abadimu	abadimu
abagnale	abagnaɭə
abaikan	abaɪkɑn
abaku	əˈbaku
abakus	abakʊs
abalone	əˈbælini
abalon	əˈbalɔn
abamama	əbaˈmama
abang	abaŋ
abangan	abaŋan
abang	əˈbaŋ
abangku	abaŋku
abangmu	abaŋmu
abangnya	abaŋɲa
abano	abano
abate	abate
abate	abatə
abatoar	abatoar
abaton	abatɔn
abaya	abaja
abba	ɑbːa
abbadon	ˈabbadɔn
abbarumbung	apbarʊmbʊŋ
abbas	ˈabbas
abbey	æbɛɪ
abbie	ˈabbi
abbies	ˈabbiəs
abbot	ˈæbɪt
abbott	æbɔt
abbs	æb
abbudin	ɑbːuˈdin
abby	ˈabɪ
abc	æbɛtʃ
abdallah	ɑbdɑllɑh
abdi	abdi
abdi	ap̚d̪i
abdikasi	apdikasi
abdomen	apdomən
abdomen	apdomɛn
abduksi	ap̚d̪ʊk̚si
abdul	əbˈdʊl
abdullah	abdolə
abdusen	ap̚dusən
abdya	abdja
abe	abe
abek	abək̚
abel	əˈbəl
abeoji	abeɔdʒi
abeonim	abɛoɪm
aber	abər
aberasi	abərasi
abercrombie	ɑbɛrkrɔmbɪ
aberdeen	əˈbɛːdrɪn
abernathy	əˈbɛrnaʈi
aberthol	ɑbɛrtoʊl
ab	əp
abg	æbg
abhay	əbˈhai
abhi	əpʰi
abhimanyu	əbiˈmənjoʊ
abhishek	abhiʃɛk
abi	abi
abigail	əbiˈgajl
abikara	abikara
abilene	əbiˈlini
abimanyu	abimanjʊ
abin	ˈabin
abis	abɪs
abis	əˈbis
abiturien	abit̪urien
abjad	abdʒat
abjad	apdʒat
abk	ɑbʔ
ablasi	aplasi
ablaut	ablaʊ̯t̚
ablaut	ablawʊt
able	əˈbəl
abnegation	əpnegasiʔ
abner	æbˈnɛr
abnormal	æbnɔrmɔl
abnormal	apnɔrmal
abnormalitas	apnormalitas
abnus	apnʊs
aboeji	ʔaboʔiʤi
aboenim	aboʔnim
abolisi	abolisi
abon	abɔn
abone	abone
abor	abɔr
aborigin	əboˈrɪgɪn
aborsi	abɔrsi
about	əˈbʊt
above	ɑboʊ
abracadabra	əbraʋaˈdabra
abra	əˈbra
abraham	əˈbraːham
abrakadabra	əbrakaˈdabra
abrak	ap̚rak̚
abrams	əˈbrams
abrasax	əˈbrasaχ
abrasi	abrasi
abrasi	ap̚rasi
abruzzi	əˈbruʤi
abs	ˈæp̚s
absalom	ɑbˈsalɔm
absen	æpˈsɛn
absen	ap̚sɛn
absensi	ap̚sɛnsi
absensi	əpˈsɛnsi
absente	ap̚sent̪e
absenteisme	apsenteɪsmə
abses	ap̚sɛs
absis	apsɪs
absolut	ap̚solʊt̚
absolut	ɑbsɔlʊt
absolutely	æpˈsɔlʊtli
absolutisme	apsolʊtɪsmə
absorben	apsɔrben
absorpsi	apsɔrpsi
abstrak	apstrak
abstrak	ɑpˈstrɑk
abstraksi	apstraksi
absurd	æpˈsʊɹd
absurd	apsʊrt
abu2	əbu
abu-abu	əˈbuəˈbu
abu	əbu
abuh	abʊh
abujiru	ʔabuˈdʒiru
abunya	əˈbʊnjə
aburage	aburagɛ
aburan	abʊran
abyssinia	əˈbɪsɪniə
academy	əˈtʃɛdəmi
acak-acakan	ˈatʃɑkatʃɑˈkɑn
acak	ˈatʃak
acak	atʃak̚
acala	atʃala
acappella	əˈtʃɑpɛlɑ
acapulco	ʔatʃapulkoʊ
acara-acara	ˈatʃaraˈatʃara
acara	ˈatʃara
acara	atʃara
acaraku	ˈatʃaraku
acaram	atʃaram
acaramu	ətʃaramu
acaranya	ˈatʃaraɲa
acar	ˈatʃar
acardo	atʃardo
acarnya	ˈatʃərnə
acarya	atʃarja
ac	atʃ
access	ˈɛtʃɛs
accord	ɑtʃɔːr
account	ˈaʊkəʊnt
ace	atʃe
ace	atʃə
aceh	ˈatʃə
aceh	atʃɛh
aces	atʃɛs
ac	ətʃ
acheron	atʃəron
achilles	atʃɪl
achiyazid	atʃiˈjazɪt
achmed	atʃmɛt
achtung	ˈaxtʊŋ
acid	ˈasɪd
acintia	atʃɪntia̯
acker	ˈɑkɛr
ackerman	ˈʌkərmən
ackiel	ˈaʧɛl
ack	ʔɛk
aclu	ˈatʃloʊ
acnya	atʃnə
ac-nya	atʃɲa
acosta	ʔaˈkɔsta
acp	atʃp
acre	ɑtʃrɛ
acres	ˈatʃrɛs
across	əˈkrɔs
act	ɑtʃ
acting	æktɪŋ
action	ˈækʃən
actuaiiy	ɑktuaj
actual	ɑkˈtʃuːl
actually	æktʃuːl
acuan	ˈatʃuan
acuan	atʃuan
acu	atʃu
acuh	əˈtʃʊh
acuhkan	atʃʊŋan
acungkan	əˈtʃʊŋkan
ada	ˈada
ada-ada	ˈadada
ada	ɑd̪a
ada-	ɑdɑ
adab	adap̚
adaiah	ˈadəjə
adakah	ədaka
adakalanya	ədakəlaɲə
adakan	ɔdɑkan
adala	ɑd̪ɑl̪ɑ
adal	ˈadaʔ
adalagi	adaˈlægi
adalah	ədalah
adalah-	ədalah
adalh	ɑd̪ɑl̪h
adalind	ɑdaˈlɪnd
adaline	ɑd̪aˈlɪnə
adama	adama
adam	ˈadam
adamantium	adaˈmantium
adams	ˈadams
adamson	ˈadamsɔn
adan	ˈad̪an
adang	adaŋ
adangiyah	adaŋijah
adanya	adaɲa
adaptasi	adaptasi
adaptasi	əˈdɑp̚t̪asi
adaptor	ɑdɑpˈtɔr
adapun	əˈdʌpʊn
adat	ˈadəʔ
ad	ɑd
ad	ɑt
addams	ˈaddams
add	ɑt
adderall	ˈɑdɛrɑl
add	əd̪ə
addicted	ˈadɪktɪd
addison	ˈædɪsən
addley	ɑd̪lɛj
addy	ɑd̪dɪ
ade	ˈadə
adegan	ˈadəgan
adegan	adəgan
adeganku	adəˈgaŋku
adegannya	ˈadəganʲjə
adek	ˈadek
adekuat	adekuat
adel	ˈadəl
adelaide	ədeˈlajd
adele	əˈdɛlə
adèle	əˈdɛlə
adem	ˈadɛm
aden	ˈadɛn
adendum	adɛndʊm
ader	ˈadɛr
adham	ɑd̪ham
adhanahany	ʔad̪hanahaɲ
adhd	adehade
adhemar	ʔad̪əˈmar
adhesi	athesi
adi	adi
adidaya	ˈadɪˈdaja
adieu	əˈdiəw
adiguna	adiguna
adik-adikku	ˈadɪkˈadɪkku
adik-adikmu	adigadigmu
adik-adiknya	ˈadɪkˈadɪkɲa
adik	ˈadɪk
adikku	ˈadɪkːʊ
adik-ku	ˈadɪkkʊ
adik-mu	adigmu
adikmu	ˈadɪkmu
