+	tasɯ
-	ikɯ
...から手を引く	kaɾateoçɯ
...ない限り	naikdgiɾi
...に住んだ時	nisɯɴdatoki
...に元気をつける	nigeɴkiotsɯkeɾɯ
...に熱くなる	natsɯkɯnaɾɯ
...の物である	nomnodeaɾɯ
.com	a
0	le
1	itɕi
1かげつぐらいです。	ikagetsɯgɯɾaidesɯ
1万時間	ĩtɕimaɴdʑikaɴ
1億円	itɕi okɯeɴ
1円玉	itɕi eɴdama
1列に並んで待つ	itsɯɾetsɯ ninaɾaɴdematsɯ
1日で引く	ikinitɕi deçikɯ
1日目	itɕi nitɕi me
1時	itɕidʑi
1時間	itɕidʑikaɴ
1時間で	itɕidʑikaɴde
1時間で忘れてしまった	idʑikaɴdeɰᵝasɯɾeteɕimatːa
1時間ほど	itɕidʑikaɴ hdo
1時間ほど前から	itɕi dʑikan hodo mae kara
1時間半	itɕidʑikaɴhaɴ
1時限目	adʑi dʑigeɴ me
1月	çigatsɯ
1桁の支持率	çitoketanoɕidʑiɾitsɯ
1段階ずつ	itɕi daɴkaizɯtsɯ
1週間	isɯɕɯɯ kaɴ
2	ni
2	ni˥˩
2万ドル	nimaɴdoɾɯ
2分の１	nibɯɴnoitɕi
2分咲き	nibɯ zaki
2回	nikai
2巻まである	nikaɴ mdeaɾɯ
2年ぶりに	nineɴbɯɾini
2時	nitɕi dʑi
2月	nigatsɯ
2本目	nhoɴme
2級	nikjɯɯ
2行	nigjoɯ
2階	nikai
3	san
3	san˩
3ステップ	sɯɾiːsɯ teapːɯ
3人分の料理	saɴniɴbɯɴnoɾjoɯɾi
3年ごとの祭り	saɴneɴgotnomatsɯɾi
3年間	sanneɴkaɴ
3時	saɴdʑi
3月	saɴgatsɯ
3月期	saɴgatsɯki
3桁	aɴketa
3級	saɴkjɯɯ
3行	saŋgjoɯ
4月	ɕigatsɯ
5	go
50分の模擬試験に挑戦して	godʑu ppun no mogi ɕiken ni tɕoːsen ɕite
5年ぶり	go neɴbɯɾi
5年生	kokɯneɴsei
5月	gɔgatsɯ
5枚	oɯmai
5行	gogjoɯ
5階	gokai
6	ɾokɯ
6丁目	ɾokɯtɕoɯme
6人とも	ɾokɯniɴtomo
6人部屋	ɾokɯniɴbeja
6円	lɔkɯeɴ
6回	ɾokːai
6年１組	ɾokɯneɴitɕikɯmi
6時	lokɯdʑi
6時	ɾokɯdʑi
6時半	ɾokɯdʑihaɴ
6月	ɾokɯgatsɯ
6行	lɾokɯgjoɯ
7つ	natsɯ
7件	nana keɴ
7月	ɕitɕigatsɯ
7階	naɾakai
8	hatsɯ
