1	i˥˩
10000	a
7折	tɕʰi˥˥ʈʂɤ˧˥
8	fou˥
e	ɤ
i	i˥˩
j	tɕi˥˥
o	wˈɔ
u	u
u盘	joʊ˥˥pʰan˧˥
·	tjɛn˨˩˦
ü	u
​世​上	ʂɚ˥˩sɑŋ˥˩
​老​师	lɑʊ˨˩˦ʂɚ˥˥
・阿	a˨
ㄓ	ʈʂɚ˥˥
ㄕ	ʂɚ˥˥
ㄦ	aɻ˥˩
㐀	tɕʰjoʊ˥˥
㐄	kʰwa˥˩
㐅	u˨˩˦
㐆	ɪn˨˩˦
㐖	jɛ˥˩
㐜	ʈʂʰoʊ˧˥
㐡	nuɔ˥˩
㐤	tɕʰjoʊ˧˥
㐨	ɕy˥˩
㐩	ɕɪŋ˧˥
㐫	ɕjʊŋ˥˥
㐬	ljoʊ˧˥
㐭	lɪn˨˩˦
㐮	ɕjɑŋ˥˥
㐯	jʊŋ˥˥
㐰	ɕɪn˥˩
㐱	ʈʂən˨˩˦
㐲	taɪ˥˩
㐳	u˥˩
㐴	pʰan˥˥
㐸	tɕʰjɛn˥˩
㐹	i˥˩
㐺	ʈʂʊŋ˥˩
㐻	neɪ˥˩
㑁	ʈʂuɔ˥˥
㑃	ɑʊ˨˩˦
㑄	u˨˩˦
㑅	tsuɔ˥˩
㑇	ʈʂoʊ˥˩
㑈	tʊŋ˥˩
㑉	su˥˩
㑊	i˥˩
㑎	nɑʊ˨˩˦
㑏	ʈʂu˥˩
㑔	ɕy˨˩˦
㑘	tɕjɛ˥˩
㑚	nuɔ˧˥
㑛	su˥˩
㑜	i˥˩
㑝	lʊŋ˥˩
㑞	ɪŋ˥˩
㑣	lan˧˥
㑤	mjɑʊ˧˥
㑥	i˥˩
㑦	li˥˩
㑧	tɕi˥˩
㑨	y˨˩˦
㑩	luɔ˧˥
㑪	ʈʂʰaɪ˧˥
㑮	xuən˧˥
㑯	ɕy˨˩˦
㑰	xweɪ˥˩
㑱	ʐɑʊ˨˩˦
㑳	ʈʂoʊ˥˩
㑶	ɕi˥˩
㑹	xweɪ˥˩
㑺	tɕyn˥˩
㑻	ma˥˩
㑼	lɥœ˥˩
㑽	tʰɑŋ˧˥
㒀	ʈʂa˨˩˦
㒃	aɻ˥˩
㒅	tɕʰi˨˩˦
㒈	xan˥˩
㒉	tʰɑŋ˨˩˦
㒊	sɤ˥˩
㒌	tɕʰjʊŋ˧˥
㒒	pʰu˧˥
㒓	tʰa˥˩
㒔	ʂu˨˩˦
㒖	oʊ˨˩˦
㒗	tʰaɪ˧˥
㒙	mjɛn˧˥
㒚	uən˨˩˦
㒛	tjɑʊ˥˩
㒟	njɑʊ˨˩˦
㒠	ɕjɛ˥˩
㒡	joʊ˧˥
㒤	ʂɤ˥˩
㒦	leɪ˨˩˦
㒧	li˥˩
㒩	luɔ˨˩˦
㒫	tɕi˥˩
㒰	tɕʰɥœn˧˥
㒲	tsʰaɪ˧˥
㒳	ljɑŋ˨˩˦
㒴	ku˨˩˦
㒵	mɑʊ˥˩
㒻	mɑʊ˥˩
㒼	man˧˥
㒾	ʂɚ˥˩
㓁	wɑŋ˨˩˦
㓂	kʰoʊ˥˩
㓄	ʈʂən˥˩
㓊	tʊŋ˥˩
㓋	kʊŋ˥˩
㓏	tɕjʊŋ˨˩˦
㓐	lu˥˩
㓑	ɕɪŋ˥˩
㓓	nan˧˥
㓔	ɕjɛ˥˩
㓘	su˥˩
㓜	joʊ˥˩
㓝	ɕɪŋ˧˥
㓠	tjɛn˥˩
㓡	fu˨˩˦
㓢	luɔ˥˩
㓣	tɕʰja˥˩
㓧	jɛn˨˩˦
㓪	lɑŋ˨˩˦
㓭	xɤ˧˥
㓯	li˧˥
㓰	xwa˥˩
㓱	tʰoʊ˧˥
㓲	pʰjɛn˥˩
㓵	ɤ˥˩
㓶	tɕʰjɛ˥˩
㓷	i˥˩
㓹	ʐweɪ˥˩
㓺	tɕjɛn˥˩
㓽	ʈʂʰʊŋ˧˥
㓾	ʈʂʰɚ˧˥
㔂	lɪn˧˥
㔄	su˥˩
㔅	ɕjɑʊ˥˩
㔆	ʈʂʰan˧˥
㔉	ʈʂu˧˥
㔊	tan˨˩˦
㔌	ʈʂoʊ˥˩
㔏	li˥˩
㔒	ɕi˧˥
㔗	feɪ˥˩
㔘	ʈʂʰu˥˩
㔚	kʰoʊ˨˩˦
㔝	ljɑŋ˨˩˦
㔢	tɕɥœ˧˥
㔤	ʂən˨˩˦
㔥	pʰi˧˥
㔦	jɑŋ˨˩˦
㔨	peɪ˥˩
㔩	ɤ˥˩
㔪	lu˨˩˦
㔮	nuɔ˧˥
㔰	xɤŋ˧˥
㔱	y˨˩˦
㔴	i˥˩
㔶	kʊŋ˥˩
㔷	loʊ˥˩
㔹	lɤ˥˩
㔺	ʂɚ˥˩
㔼	suən˨˩˦
㔾	tɕjɛ˧˥
㔿	tsoʊ˥˩
㕁	tɕʰɥœ˥˩
㕂	ɪn˧˥
㕄	ʈʂɚ˥˩
㕅	tɕja˨˩˦
㕆	xu˥˩
㕇	la˧˥
㕉	kʰɤ˥˩
㕌	aɪ˥˩
㕏	ʈʂʰu˧˥
㕐	ɕjɛ˨˩˦
㕑	ʈʂʰu˧˥
㕕	xwan˥˩
㕖	su˥˩
㕗	joʊ˥˩
㕚	ʈʂɑʊ˨˩˦
㕜	ʂɚ˨˩˦
㕟	kʰweɪ˥˩
㕤	tɕʰjoʊ˧˥
㕥	i˨˩˦
㕦	xwa˥˩
㕨	fan˥˩
㕩	ʈʂɑŋ˥˩
㕪	tan˨˩˦
㕫	fɑŋ˨˩˦
㕬	sʊŋ˥˩
㕯	neɪ˥˩
㕰	xɤ˥˩
㕱	joʊ˧˥
㕴	ʈʂʰən˧˥
㕷	xwa˥˩
㕸	li˥˩
㕹	fa˧˥
㕺	xɑʊ˧˥
㕽	sɯ˥˩
㖁	lɪn˥˩
㖂	i˥˩
㖃	xoʊ˨˩˦
㖅	ɕy˥˩
㖇	aɻ˧˥
㖏	neɪ˥˩
㖐	weɪ˨˩˦
㖑	ɕjɛ˥˩
㖒	tʰi˧˥
㖓	xʊŋ˧˥
㖔	tʰuən˨˩˦
㖖	njɛ˥˩
㖗	ɪn˧˥
㖞	uaɪ˥˥
㖟	ʂoʊ˥˩
㖡	jɛ˥˩
㖣	tʰoʊ˥˩
㖤	xan˧˥
㖥	tɕjʊŋ˨˩˦
㖦	tʊŋ˨˩˦
㖧	uən˨˩˦
㖨	lu˥˩
㖩	soʊ˨˩˦
㖪	kuɔ˧˥
㖫	lɪŋ˧˥
㖭	tʰjɛn˨˩˦
㖮	luən˧˥
㖶	jɛ˥˩
㖸	ɕɥœ˧˥
㖹	fən˥˩
㖺	ʈʂʰuən˨˩˦
㖻	ʐoʊ˧˥
㖾	ɤ˥˩
㖿	ɕjɛ˧˥
㗁	ɤ˥˩
㗂	ʂɤŋ˨˩˦
㗅	xu˧˥
㗇	ɕja˧˥
㗈	man˥˩
㗊	tɕi˧˥
㗋	xoʊ˧˥
㗌	ʈʂɚ˥˩
㗑	paɪ˥˩
㗒	aɪ˥˩
㗕	koʊ˥˩
㗖	tan˥˩
㗗	paɪ˨˩˦
㗙	na˥˩
㗚	li˥˩
㗛	ɕjɑʊ˥˩
㗜	ɕjoʊ˥˩
㗢	tʊŋ˥˩
㗣	tʰi˥˩
㗤	tsʰu˥˩
㗥	kʰuɔ˥˩
㗦	lɑʊ˧˥
㗧	ʈʂɚ˥˩
㗨	aɪ˨˩˦
㗩	ɕi˥˥
㗫	tɕʰjɛ˥˩
㗱	tɕi˧˥
㗳	tʰa˨˩˦
㗴	jɛn˧˥
㗵	ɕy˥˩
