က	ka̰
ကကုသန်	ka̰kṵθàɴ
ကကုသန်ဘုရား	ka̰kṵθàɴpʰəjá
ကက်စီနို	kɛʔsìnò
ကက်ဆက်	kɛʔsʰɛʔ
ကက်တလောက်	kɛʔtəlaʊʔ
ကက်ပတိန်	kɛʔpətèɪɴ
ကက်ဗိနက်	kɛʔbḭnɛʔ
ကက်သလစ်	kɛʔθəlɪʔ
ကကြီး	ka̰dʑí
ကချင်	kətɕʰɪ̀ɴ
ကချလာ	kətɕʰəlà
ကချေသည်	ka̰dʑèðè
ကင်	kɪ̀ɴ
ကင်ဆာ	kɪ̀ɴsʰà
ကင်ဆာရောဂါ	kɪ̀ɴsʰàjɔ́gà
ကင်ညာ	kɪ̀ɴɲà
ကင်ပွန်း	kɪ̀ɴbʊ́ɴ
ကင်ပွန်းချဉ်	kɪ̀ɴbʊ́ɴdʑɪ̀ɴ
ကင်ဘာရာ	kɪ̀ɴbàɹà
ကင်မရာ	kɪ̀ɴməɹà
ကင်မရွန်း	kɪ̀ɴma̰ɹʊ́ɴ
ကင်း	kɪ́ɴ
ကင်းခြေများ	kɪ́ɴtɕìmjá
ကင်းစီး	kɪ́ɴsí
ကင်းထောက်လေယာဉ်	kɪ́ɴdaʊʔlèjɪ̀ɴ
ကင်းပုံ	kɪ́ɴbòʊɴ
ကင်းမြီးကောက်	kɪ́ɴmjígaʊʔ
ကင်းမွန်	kɪ́ɴmʊ̀ɴ
ကစား	gəzá
ကစားကွင်း	gəzágwɪ́ɴ
ကစားစရာ	gəzázəjà
ကစားသမား	gəsáðəmá
ကစီ	gəzì
ကစီဓာတ်	gəzìdaʔ
ကစ္ဆပနဒီ	kɪʔsʰa̰pənədì
ကဆုန်	kəsʰòʊɴ
ကဆုန်လပြည့်နေ့	kəsʰòʊɴla̰pjḭnḛ
ကညာ	kəɲà
ကညွတ်	kəɲʊʔ
ကညွတ်ရိုး	kəɲʊʔjó
ကဏန်း	gənáɴ
ကဏ္ဍ	kànda̰
ကတညုတ	kətɪ̀ɴɲṵta̰
ကတည်းက	gədɛ́ga̰
ကတိ	gədḭ
ကတုတ်	gədoʊʔ
ကတုတ်ကျင်း	gədoʊʔtɕɪ́ɴ
ကတော့	gədɔ̰
ကတော်	gədɔ̀
ကတ္တား	kaʔtá
ကတ္တီပါ	gədìbà
ကတ်	kaʔ
ကတ်ကြေး	kaʔtɕí
ကတ်ကြေးကိုက်	kaʔtɕíkaɪʔ
ကတ်ပြား	kaʔpjá
ကတ်သလိတ်	kaʔθəleɪʔ
ကတွတ်	gədʊʔ
ကတွတ်ယို	kədʊʔjò
ကထာန	məhàkətʰàna̰
ကထိက	kətʰḭka̰
ကထိန်	kətʰèɪɴ
ကဒတ်	gədaʔ
ကဒ်	kàd
ကနခို	kənəkʰò
ကနစိုး	kənəzó
ကနား	kəná
ကနုကမာ	kənṵkəmà
ကနုတ်	kənoʊʔ
ကနေဒါ	ka̰nèdà
ကန့်	ka̰ɴ
ကန့်လန့်	ka̰ɴla̰ɴ
ကန့်လန့်ကာ	kələgà
ကန္တာရ	kàɴtàja̰
ကန်	kàɴ
ကန်စွန်း	gəzʊ́ɴ
ကန်စွန်းဥ	gəzʊ́ɴʔṵ
ကန်တော့	gədɔ̰
