a	a
adeo	adeo
aeroporto	aeroporto
al	al
alphabeto	alfabeto
ama	ama
amante	amante
amara	amara
amarea	amarea
amate	amate
amava	amava
amico	amiko
ancian	ansjan
ancian	antsjan
anglese	anɡlese
anglese	anɡleze
animal	animal
anque	aŋkwe
apud	apud
arbore	arbore
articulo	artikulo
articulos	artikulos
ascoltar	askoltar
audi	au̯di
audiente	au̯djente
audira	au̯dira
audir	au̯dir
audirea	au̯direa
audite	au̯dite
audiva	au̯diva
avantiar	avantsjaɾ
avion	avjon
ben	ben
benvenite	benvenite
berillo	berilːo
besonio	bezonjo
bibita	bibita
bibliotheca	biblioteka
blanc	blaŋk
boteca	boteka
butyro	butiro
byzantin	bizantin
byzantino	bizantino
byzantio	bizansjo
byzantio	bizantjo
byzantio	bizantsjo
caffe	kafe
caffe	kaffe
calcea	kaltsea
camera	kamera
camisa	kamisa
cantar	kantar
casa	kasa
catta	katta
catto	katto
chile	tʃile
ciao	tʃao
cinque	tsinkwe
citate	tsitate
ci	tsi
c	k
cocina	kotsina
comenciar	komensjar
comenciar	komentsjar
commode	kommode
confortabile	konfortabile
constantinopolita	konstantinopolita
constantinopolitan	konstantinopolitan
credentia	kredensja
credentia	kredentja
credentia	kredentsja
c	ts
c	tse
cucu	kuku
cuje	kuje
curte	kurte
debe	debe
deber	deber
dece	detse
decider	detsider
decime	detsime
densitate	densitate
devenir	devenir
dicer	ditser
difficile	diffitsile
discoperir	diskopeɾiɾ
disponibile	disponibile
disponibilitate	disponibilitate
dominica	dominika
dubita	dubita
effortia	eforsja
effortia	efortsja
effortiante	eforsjante
effortiante	efortsjante
effortiara	eforsjara
effortiara	efortsjara
effortiarea	eforsjarea
effortiarea	efortsjarea
effortiar	eforsjar
effortiar	efortsjar
effortiate	eforsjate
effortiate	efortsjate
effortiava	effortsjava
effortiava	eforsjava
effortio	efːoɾtsjo
effortio	effoɾtsjo
egyptiano	eɡipti̯ano
egyptio	eɡipti̯o
electronic	elektɾonik
equalar	eɡwalar
equalar	ekwalar
espania	espanja
essera	essera
esser	esser
esseva	esseva
etiam	etsjam
facer	fatser
familia	familja
femina	femina
fenestra	fenestra
ferma	ferma
ferrovia	ferrovia
ficato	fikɑto
francia	fɾantsja
frigide	friɡide
fructo	fɾukto
garantia	ɡarantia
gay	ɡeɪ
