he could not lead if he got the lead poisoning	_ _ _ lˈid _ _ _ _ lˈɛd _
they were close to the door to close it	_ _ klˈoʊs _ _ _ _ klˈoʊz _
she will read the book that i read yesterday	_ _ ɹˈid _ _ _ _ ɹˈɛd _
the attribute was hard to attribute to anyone	_ ˈætɹɪbjut _ _ _ əˈtɹɪbjut _ _
the object was to object to the proposal	_ ˈɑbdʒɛkt _ _ əbˈdʒɛkt _ _ _
the exploit was hard to exploit for profit	_ ˈɛksplɔɪt _ _ _ ɪkˈsplɔɪt _ _
the entrance was blocked so they couldn’t entrance the guests	_ 'ɛntɹəns _ _ _ _ _ ɛnˈtɹæns _ _
the estimate was hard to estimate accurately	_ 'ɛstəmət _ _ _ 'ɛstəˌ'meɪt _
the perfect score was hard to perfect under pressure	_ ˈpɜrfɪkt _ _ _ _ pərˈfɛkt _ _
the permit was hard to permit under the rules	_ ˈpɜrmɪt _ _ _ pɚˈmɪt _ _ _
the bass swam near the bass guitar	_ bˈæs _ nˈɪɹ _ bˈeɪs _
the bow was tied with a bow on the gift	_ bˈaʊ _ _ _ _ 'boʊ _ _ _
the desert was so dry i just wanted to desert the place	_ dˈɛzɚt _ _ _ _ _ _ _ dɪˈzɜɹt _ _
the invalid argument was made by an invalid	_ ɪnˈvælɪd _ _ _ _ _ ˈɪnvəlɪd
the use of the tool was hard to use correctly	_ jˈus _ _ _ _ _ _ juz _
the conduct was hard to conduct in such chaos	_ kˈɑndʌct _ _ _ kənˈdʌct _ _ _
the conflict arose due to the conflict of interest	_ kˈɑnflɪkt _ _ _ _ kənˈflɪkt _ _
the console was used to console her	_ kˈɑn'soʊl _ _ _ kən'soʊl _
the content of the book made her content	_ kˈɑntɛnt _ _ _ _ _ kənˈtɛnt
the contract was hard to contract in that situation	_ kˈɑntɹækt _ _ _ _ _ _ kənˈtɹækt
the minute details took a minute to notice	_ mˈaɪnət _ _ _ ˈmɪnɪt _ _
the polish man wanted to polish the table	_ pˈoʊlɪʃ _ _ _ pˈɑlɪʃ _ _
the produce was fresh so they decided to produce more	_ pɹˈɑdus _ _ _ _ _ _ pɹəˈdus_ 
the project was hard to project onto the screen	_ pɹˈɑdʒɛkt _ _ _ pɹəˈdʒɛkt _ _ _
the progress was hard to progress further	_ pɹˈɑɡɹɛs _ _ _ pɹəˈɡɹɛs _
the present was a present from her friend	_ pɹˈɛzənt _ _ prɪˈzɛnt _ _ _
the rebel decided to rebel against the king	_ ɹˈɛbəl _ _ ɹɪˈbɛl _ _ _
the refuse collector took the refuse away	_ ɹˈɛf'juːs _ _ _ ɹɪˈfjuz _
the record was hard to record in one take	_ ɹˈɛkɚd _ _ _ ɹɪˈkɔɹd _ _ _
the rowers had a row about who would row first	_ ɹˈoʊɚz _ _ ɹˈaʊ _ _ _ ɹˈoʊ _
the separate rooms were hard to separate	_ sˈɛpɹət _ _ _ _ ˈsɛpəˌɹeɪt
the sewer was clogged near the old sewer	_ sˈuɚ _ _ _ _ _ sˈoʊɚ
the subject was hard to subject to scrutiny	_ sˈʌbdʒɛkt _ _ _ səbˈdʒɛkt _ _
the suspect was a suspect in the case	_ sˈʌspɛkt _ _ səˈspɛkt _ _ _
the tear in her dress made her tear up	_ tˈɛɹ _ _ _ _ _ tˈɪɹ _
the transfer was hard to transfer to the new account	_ tɹˈænsfɚ _ _ _ tɹænsˈfɜɹ _ _ _ _
the wind was too strong to wind the sail	_ wˈɪnd _ _ _ _ wˈaɪnd _ _
the object was to object to the unfair rule	ðə ˈɒbdʒɪkt wəz tə əbˈdʒɛkt tə ðə ˌʌnˈfeər ruːl
the object was to object to the new policy	ðə ˈɒbdʒɪkt wəz tə əbˈdʒɛkt tə ðə nuː ˈpɒlɪsi
the bandage was wound around the wound to stop the bleeding	ðə ˈbændɪdʒ wəz 'waʊnd əˈraʊnd ðə 'wuːnd tə stɒp ðə ˈb'liːdɪŋ
the content writer felt content after finishing the article	ðə ˈkɒntɛnt ˈraɪtər fɛlt ˈkɒntɛnt ˈɑːftər ˈfɪnɪʃɪŋ ðə ˈɑːtɪkl
the content of the letter made her feel content	ðə ˈkɒntɛnt əv ðə ˈlɛtər meɪd hɜːr ˈfiːlɪŋ kənˈtɛnt
the content of the letter made her feel content	ðə ˈkɒntɛnt əv ðə ˈlɛtər meɪd hɜːr fiːl kənˈtɛnt
the content of the story left her feeling content	ðə ˈkɒntɛnt əv ðə ˈstɔːri lɛft hɜːr ˈfiːlɪŋ kənˈtɛnt
the content of the book left her feeling content	ðə ˈkɒntɛnt əv ðə bʊk lɛft hɜːr ˈfiːlɪŋ kənˈtɛnt
the content of the film made her feel content	ðə ˈkɒntɛnt əv ðə fɪlm meɪd hɜːr fiːl kənˈtɛnt
the content of the speech made her feel content	ðə ˈkɒntɛnt əv ðə spiːtʃ meɪd hɜːr ˈfiːlɪŋ kənˈtɛnt
the content of the speech made her feel content	ðə ˈkɒntɛnt əv ðə spiːtʃ meɪd hɜːr ˈfiːlɪŋ kənˈtɛnt
the content of the speech made her feel content	ðə ˈkɒntɛnt əv ðə spiːtʃ meɪd hɜːr fiːl kənˈtɛnt
the content creator felt content with her latest video	ðə ˈkɒntɛnt kriˈeɪtə fɛlt ˈkɒntɛnt wɪð hɜːr ˈleɪtɪst ˈvɪdɪəʊ
the contract was hard to read but they had to contract the work	ðə ˈkɒntrækt wəz hɑːrd tə riːd bət ðeɪ hæd tə kənˈtrækt ðə wɜːrk
the minute details were too minute to notice	ðə ˈmɪnɪt ˈdɪteɪlz wɜːr tuː maɪˈnjuːt tə ˈnəʊtɪs
the minute details were too minute for the naked eye	ðə ˈmɪnɪt dɪˈteɪlz wɜːr tuː ˈmɪnɪt fɔː ðə ˈneɪkɪd aɪ
the minute adjustment made only a minute difference	ðə ˈmɪnɪt əˈdʒʌstmənt meɪd ˈəʊnli ə ˈmɪnɪt ˈdɪfrəns
the minute adjustment made a minute difference in the result	ðə ˈmɪnɪt əˈdʒʌstmənt meɪd ə ˈmɪnɪt ˈdɪfrəns ˈɪn ðə rɪˈzʌlt
the minute adjustment made a minute improvement	ðə ˈmɪnɪt əˈdʒʌstmənt meɪd ə ˈmɪnɪt ɪmˈpruːvmənt
the minute hand moved a minute amount on the clock	ðə ˈmɪnɪt hænd muːvd ə ˈmɪnɪt əˈmaʊnt ˈɔn ðə klɒk
the minute change had a minute impact on the outcome	ðə ˈmɪnɪt tʃeɪndʒ hæd ə ˈmɪnɪt ˈɪmpækt ˈɔn ði ˈaʊtkʌm
the minute change had a minute influence on the outcome	ðə ˈmɪnɪt tʃeɪndʒ hæd ə ˈmɪnɪt ˈɪnfluəns ˈɔn ði ˈaʊtkʌm
the minute change had a minute effect on the results	ðə ˈmɪnɪt tʃeɪndʒ hæd ə ˈmɪnɪt ɪˈfɛkt ˈɔn ðə rɪˈzʌlts
the polish artist used polish to complete the artwork	ðə ˈpəʊlɪʃ ˈɑːtɪsən 'juːzd ˈpəʊlɪʃ tə kəmˈpliːt ði ˈɑːtwɜːk
the polish artist used polish to finish his sculpture	ðə ˈpəʊlɪʃ ˈɑːtɪst 'juːzd ˈpəʊlɪʃ tə ˈfɪnɪʃ hɪz ˈskʌlptʃər
the polish artist used polish to complete the artwork	ðə ˈpəʊlɪʃ ˈɑːtɪst 'juːzd ˈpəʊlɪʃ tə kəmˈpliːt ðə ˈɑːtwɜːk
the polish artist used polish to complete the artwork	ðə ˈpəʊlɪʃ ˈɑːtɪst 'juːzd ˈpəʊlɪʃ tə kəmˈpliːt ðə ˈɑːtwɜːrk
the polish artisan used polish to finish the masterpiece	ðə ˈpəʊlɪʃ ˈɑːtɪzæn 'juːzd ˈpəʊlɪʃ tə ˈfɪnɪʃ ðə ˈmɑːstərpiːs
the polish artisan used polish to finish the sculpture	ðə ˈpəʊlɪʃ ˈɑːtɪzæn 'juːzd ˈpəʊlɪʃ tə ˈfɪnɪʃ ðə ˈskʌlptʃər
the polish artisan used polish to finish the sculpture	ðə ˈpəʊlɪʃ ˈɑːtɪzən 'juːzd ˈpəʊlɪʃ tə ˈfɪnɪʃ ðə ˈskʌlptʃər
the polish craftsman used polish to shine the metal	ðə ˈpəʊlɪʃ ˈkrɑːftsmən 'juːzd ˈpəʊlɪʃ tə ʃaɪn ðə ˈmɛtl
the polish worker applied polish to the wooden table	ðə ˈpəʊlɪʃ ˈwɜːrkər əˈplaɪd ˈpəʊlɪʃ tə ðə ˈwʊdən ˈteɪbəl
the polish worker applied polish to the wooden surface	ðə ˈpəʊlɪʃ ˈwɜːrkər əˈplaɪd ˈpəʊlɪʃ tə ðə ˈwʊdn ˈsɜːfɪs
the polish worker applied polish to the wooden surface	ðə ˈpəʊlɪʃ ˈwɜːrkər əˈplaɪd ˈpəʊlɪʃ tə ðə ˈwʊdn ˈsɜːrfɪs
the polish chef used polish to clean the silverware	ðə ˈpəʊlɪʃ ʃɛf 'juːzd ˈpəʊlɪʃ tə kliːn ðə ˈsɪlvəweər
the polish man used polish to shine his shoes	ðə ˈpoʊlɪʃ mæn 'juːzd pəˈlɪʃ tə ʃaɪn hɪz ʃuːz
the present moment was the best present she could ask for	ðə ˈprɛzənt ˈməʊmənt wəz ðə bɛst ˈprɛzənt ʃi kəd æsk fɔːr
the present was a present she would never forget	ðə ˈprɛzənt wəz ə ˈprɛzənt ʃi wʊd ˈnɛvər fərˈɡɛt
the refuse collector had to refuse the dangerous waste	ðə ˈrɛf'juːs kəˈlɛktər hæd tə rɪˈf'juːz ðə ˈdeɪndʒərəs weɪst
the refuse collector had to refuse the oversized item	ðə ˈrɛf'juːs kəˈlɛktər hæd tə rɪˈf'juːz ðə ˈəʊvəsaɪzd ˈaɪtəm
the refuse collector had to refuse the hazardous waste	ðə ˈrɛf'juːs kəˈlɛktər hæd tə rɪˈf'juːz ðə ˈhæzədəs weɪst
the refuse collector had to refuse the toxic waste	ðə ˈrɛf'juːs kəˈlɛktər hæd tə rɪˈf'juːz ðə ˈtɒksɪk weɪst
the refuse pile was too large for the refuse truck to handle	ðə ˈrɛf'juːs paɪl wəz tuː lɑːdʒ fɔː ðə ˈrɛf'juːs trʌk tə ˈhændl
the refuse truck could not handle the refuse load	ðə ˈrɛf'juːs trʌk kʊd nɒt ˈhændəl ðə ˈrɛf'juːs ləʊd
the refuse truck could not handle the refuse load	ðə ˈrɛf'juːs trʌk kʊd nɒt ˈhændl ðə ˈrɛf'juːs loʊd
the refuse truck could not collect the refuse heap	ðə ˈrɛf'juːs trʌk kʊd nɒt kəˈlɛkt ðə ˈrɛf'juːs hiːp
the refuse truck could not collect the refuse pile	ðə ˈrɛf'juːs trʌk kʊd nɒt kəˈlɛkt ðə ˈrɛf'juːs paɪl
the refuse collector had to refuse the extra trash	ðə ˈrɛf'juːz kəˈlɛktər hæd tə rɪˈf'juːz ðə ˈɛkstrə træʃ
the rowers had a row about who would row first	ðə ˈroʊərz hæd ə raʊ ə'baʊt huː wʊd roʊ fɜːrst
the soldier decided to desert his post in the desert	ðə ˈsəʊldʒər dɪˈsaɪdɪd tə dɪˈzɜːt hɪz pəʊst ˈɪn ðə ˈdɛzət
