abadanlıq	ɑbɑdɑnɫɯχ
abad	ɑbɑd
abadlaşdırmaq	ɑbɑdɫɑʃdɯrmɑχ
abadlıq	ɑbɑdɫɯχ
abajur	ɑbɑʒur
ab	ɑb
abdal	ɑbdɑɫ
abdəst	ɑbdæst
abduq	ɑbduɣ
abid	ɑːbid
abidə	ɑːbidæ
abırsızcasına	ɑbɯrsɯzdzɑsɯnɑ
abırsızcasına	ɑbɯrsɯzdʒɑsɯnɑ
abş	ɑbʃ
abunə	ɑbunæ
abunəçi	ɑbunætsi
abunəçi	ɑbunætʃi
ac	adz
açar	ɑtsɑr
açar	ɑtʃɑr
açar	hɑtsɑr
ac	ɑdz
ac	ɑdʒ
ac	ɑʒ
aciz	ɑːdziz
aciz	ɑːdzɯz
aciz	ɑːdʒiz
aciz	ɑːdʒɯz
acı	ɑdzɯ
acı	ɑdʒɯ
açılış	ɑtsɯlɯʃ
açılış	ɑtʃɯlɯʃ
açılmaq	ɑtsɯɫmɑχ
açılmaq	ɑtʃɯɫmɑχ
acınacaqlı	ɑdzɯnɑdzɑɣɫɯ
acınacaqlı	ɑdʒɯnɑdʒɑɣɫɯ
açıq	ɑtsɯχ
açıq	ɑtʃɯχ
açıqca	ɑtsɯɣdzɑ
açıqca	ɑtʃɯɣdʒɑ
açıqça	ɑtʃɯɣdʒɑ
açıqça	ɑtʃɯχtʃɑ
aclıq	ɑdzɫɯχ
aclıq	ɑdʒɫɯχ
aclıq	ɑʒdɯχ
aclıq	ɑʒɫɯχ
açmaq	ɑʃmɑχ
açmaq	ɑtsmɑχ
açmaq	ɑtʃmɑχ
ada	ɑdɑ
adaş	ɑdɑʃ
ad	ɑd
adət	ɑːdæt
adlanmaq	ɑdɫɑmːɑχ
afət	ɑːfæt
aftafa	ɑftɑfa
ağac	ɑɣɑdz
ağac	ɑɣɑdʒ
ağac	ɑɣɑʃ
ağacdələn	ɑɣɑdʒdælæn
ağartı	ɑɣɑrtɯ
ağbirçək	ɑɣbirtsætʃ
ağbirçək	ɑɣbirtʃæc
ağı	ɑɣɯ
ağıl	ɑɣɯɫ
ağıllı	ɑɣɯɫːɯ
ağır	ɑɣɯr
ağız	ɑɣɯz
ağızlıq	ɑɣɯzdɯχ
ağızlıq	ɑɣɯzɫɯχ
ağlabatmaz	ɑɣɫɑbaɯtmɑz
ağlama	ɑɣɫɑmɑ
ağlamaq	ɑːɫɑmɑχ
ağlamaq	ɑɣɫɑmɑχ
ağlasığmaz	ɑɣɫasɯɣmɑz
ağqoval	ɑɣgovɑɫ
ağrı	ɑɣrɯ
ağrımaq	ɑɣrɯmɑχ
ağrısız	ɑɣrɯsɯz
ağuş	ɑɣuʃ
ağzıbütöv	ɑɣzɯbytœv
ağzıbütöv	ɑɣzɯpytœv
aidiyyət	ɑidijæt
ailə	ɑilæ
aktivləşdirmək	ɑktivlæʃtirmæk
aktyor	ɑktjor
alagöz	ɑɫɑɟœz
aldanmaq	ɑɫːɑnmɑχ
aldanmaq	ɑɫdɑnmɑχ
aldatmaq	ɑɫːɑtmɑχ
aldatmaq	ɑɫdɑtmɑχ
aləm	ɑːlæm
alət	ɑːlæt
ali	ɑːli
alim	ɑːlim
alınma	ɑɫɯmːɑ
alınma	ɑɫɯnmɑ
alınmaq	ɑlɯnmɑχ
alınmaq	ɑɫɯmːɑχ
alış	ɑɫɯʃ
alışmaq	ɑɫɯʃmɑχ
alma	ɑɫmɑ
almaniya	ɑɫmɑnijɑ
almaq	ɑɫmɑχ
almaz	ɑɫmɑz
alov	ɑɫov
alovlu	ɑɫovɫu
alqış	ɑɫgɯʃ
alqış	ɑɫɣɯʃ
alqışlamaq	ɑɫgɯʃɫɑmɑχ
alqışlamaq	ɑɫɣɯʃɫɑmɑχ
alt	ɑɫt
altıncı	ɑltɯndʒɯ
altında	ɑɫtɯndɑ
altmış	ɑɫtmɯʃ
altmışıncı	ɑltmɯʃɯndʒɯ
alver	ɑlver
amal	ɑmɑɫ
amansız	ɑmɑnsɯz
amcıq	ɑmdzɯχ
amcıq	ɑmdʒɯχ
amcıqgöz	ɑmdzɯɣdʒœz
amcıqgöz	ɑmdʒɯɣɟœz
aminə	ɑminæ
amma	ɑmːɑ
amma	ɑmbɑ
ana	ɑnɑ
ancaq	ɑndzɑχ
ancaq	ɑndʒɑχ
and	ɑnd
andız	ɑndɯz
anım	ɑnɯm
anlamaq	ɑnɫɑmɑχ
anlayış	ɑnɫɑjɯʃ
anmaq	ɑmːɑχ
anmaq	ɑnmɑχ
anormal	ɑnormɑɫ
anqırmaq	ɑngɯrmɑχ
antigen	ɑntidʒen
antigen	ɑntiɟen
aparmaq	ɑpɑrmɑχ
aqibət	ɑgiːbæt
ara	ɑrɑ
araba	ɑrɑbɑ
arabir	ɑrɑbir
arada	ɑrɑdɑ
aram	ɑrɑm
aramgah	ɑrɑmɟɑh
araşdırmaq	ɑrɑʃdɯrmɑχ
araşdırmaq	ɑrɑʃtɯrmɑχ
arasında	ɑrɑsɯndɑ
arayış	ɑrɑjɯʃ
ard	ɑrd
arğac	ɑrɣɑdz
arğac	ɑrɣɑdʒ
arı	ɑrɯ
arıq	ɑrɯɣ
arıqlamaq	ɑrɯɣɫɑmɑχ
arıquşu	ɑrɯguʃu
arkadi	ɑrkɑdi
arlanmaq	ɑrːɑmːɑx
artist	ɑrtist
artıq	ɑrtɯχ
artmaq	ɑrtmɑχ
arvad	ɑrvɑd
arxac	ɑrxɑdz
arxac	ɑrxɑdʒ
arxadaş	ɑrχɑdɑʃ
arxaik	ɑrχɑic
arxalanmaq	ɑrxaɫɑmːɑx
arxalanmaq	ɑrxaɫɑnmɑx
arxasında	ɑrχɑsɯndɑ
arxiv	ɑrχiv
arxiyepiskop	ɑrxijepiskop
aşağı	ɑʃɑɣɯ
asanlıq	ɑsɑnːɯχ
asanlıq	ɑsɑnɫɯχ
aş	ɑʃ
aşğal	ɑʃɣɑɫ
aşiq	ɑːʃig
aşı	ɑʃɯ
aşılamaq	ɑʃɯɫɑmɑχ
asılı	ɑsɯɫɯ
asılılıq	ɑsɯɫɯɫɯχ
aşıq	ɑʃɯx
aşırım	ɑʃɯrɯm
aşpaz	ɑʃpɑz
asqırmaq	ɑsgɯrmɑχ
asqırmaq	ɑskɯrmɑχ
astana	ɑstɑna
astanasında	ɑstɑnɑsɯnda
asudə	ɑsuːdæ
ata	ɑtɑ
atelye	ɑtelje
atım	ɑtɯm
atlanmaq	ɑtːɑmːɑχ
atlanmaq	ɑtɫɑnmɑχ
atmaq	ɑtmɑχ
atmosfer	ɑtmosfer
atqı	ɑtgɯ
atqı	ɑtkɯ
auditoriya	ɑuditorijɑ
avam	ɑvɑm
avara	ɑvɑrɑ
avar	ɑvɑr
avarçəkən	ɑvɑrtsætʃæn
avarçəkən	ɑvɑrtʃækæn
avarçı	ɑvɑrtsɯ
avarçı	ɑvɑrtʃɯ
avqust	ɑvgust
avro	ɑvro
avroviziya	ɑvrɑviːzijɑ
avroviziya	ɑvroviːzijɑ
avtomatik	aftomatic
avtoqraf	ɑftograf
avtoş	ɑftoʃ
axın	ɑχɯn
axır	ɑχɯr
axmaq	ɑχmɑχ
axsamaq	ɑχsɑmɑχ
axşam	aχʃam
axta	ɑχtɑ
axtaçı	ɑχtɑtsɯ
axtaçı	ɑχtɑtʃɯ
axtalamaq	ɑχtɑɫɑmɑχ
axtarış	ɑχtɑrɯʃ
axtarmaq	ɑχtɑrmɑχ
axund	ɑχund
ayaq	ɑjɑχ
ayaqqabı	ɑjɑkːɑbɯ
ayaqqabı	ɑjɑχgɑbɯ
ayaqqabı	ɑjɑχkɑbɯ
ayaqyalın	ɑjɑɣjɑɫɯn
ayaqyolu	ɑjɑɣjolu
ayaz	ɑjɑz
aydın	ɑjdɯn
aydınlıq	ɑjdɯnɫɯχ
ayğır	ɑjɣɯr
ayin	ɑːjin
ayılmaq	ɑjɯɫmɑχ
ayıq	ɑjɯχ
ayıqlıq	ɑjɯɣɫɯχ
ayırmaq	ɑjɯrmɑχ
aylanmaq	ɑjɫɑmːɑχ
aylanmaq	ɑjɫɑnmɑχ
aylıq	ɑjɫɯχ
ayran	ɑjrɑn
aysberq	ɑjsberg
aysız	ɑjsɯz
azad	ɑzɑd
azadlıq	ɑzɑdɫɯχ
azalmaq	ɑzɑɫmɑχ
az	ɑz
azərbaycan	ɑːzærbɑjdzɑn
azərbaycan	ɑːzæɾbɑjdʒɑn
azğın	ɑzɣɯn
azı	ɑzɯ
azlıq	ɑzdɯχ
azlıq	ɑzɫɯχ
azmaq	ɑzmɑχ
azyaşlı	ɑzjɑʃɫɯ
baba	bɑbɑ
babasil	bɑbɑsil
bacanaq	bɑdzɑnɑχ
bacanaq	bɑdʒɑnɑχ
bacanaq	bɑʒɑnɑχ
bacarmaq	bɑdzɑrmɑχ
bacarmaq	bɑdʒɑrmɑχ
bacı	bɑdzɯ
bacı	bɑdʒɯ
bacı	bɑʒɯ
badımcan	bɑdɯmdzɑn
badımcan	bɑdɯmdʒɑn
bağana	bɑɣɑnɑ
