агач	aɡat͡ʃ
ак	ɑk
ати	ati
ачкыч	ɑʧˈkʏʧ
аш	aʃ
аш	ɑʃ
әни	æni
бала	ˈbɑlɑ
бу	bu
вакыт	vaqɯt
дәү	dæw
дөрес	dɯˈræs
дус	dus
җир	ʒɪr
йорт	jort
йөз	jöz
кара	ˈkɑrɑ
карап	kɑˈrɑp
кем?	kʲem
кеше	ˈkeʃe
кеше	keʃe
китап	kʲɪˈtɑp
көн	køn
көчле	køʧˈlɛ
кул	kul
күз	küz
күз	kyz
күзәнәктәр	kʏzæˈnæktær
күрәсең	kʏˈræseŋ
кыр	kɯr
мәсәлән	mæsæˈlæn
мәхәббәт	mɪˈxæbˌbæt
менә	ˈmɛnæ
мин	mɪn
минем	ˈmɪnʲəm
өй	øj
сан	sɑn
сез	sez
сөйләү	søjlæw
сөйләшү	sœjlæʃˈʏ
су	su
су	su
татар	tɑˈtɑr
татарча	tɑˈtɑrʧɑ
тәртип	ˈtærˌtip
тел	tʲel
төш	tøʃ
төшке	ˈtøʃkæ
ул	ul
үз	ʏz
һава	ˈhɑwɑ
чистарту	ʧiˈstɑrtu
шәһәр	ʃæˈhær
эш	æʃ
язып	jɑˈzɯp
яңа	ˈjɑnɑ
ярдәм	ˈjɑrdæm
яшәү	jæˈʃæw
